GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE
3100100001P,31,001,00001P,535,62,23,3
3100100001W,31,001,00001W,491,180,53,12
3100100002E,31,001,00002E,247.64483678354506,94.34089020325527,15.161928782666026,4.492423343012156
3100100002P,31,001,00002P,121,19,5,0
3100100002W,31,001,00002W,392.56041165722166,144.00707775122157,31.818176441855933,15.185335935221108
3100100003P,31,001,00003P,388,71,17,3
3100100003W,31,001,00003W,300.679266024072,179.12569677273882,20.0247040564725,0.9628674921537769
3100100004P,31,001,00004P,376.0320039465522,65.49428775569685,10.274408590647363,0.36394557823129253
3100100005P,31,001,00005P,340.7440515610261,75.29901062588856,16.83009126224729,2.301885917484018
3100100005W,31,001,00005W,317.9007512848878,98.95798803778828,17.624513642507818,3.9682629698276806
3100100006P,31,001,00006P,127.23949519660067,30.74249754062417,5.5374522297331366,1.1090797305685351
3100100006W,31,001,00006W,669.2631970873566,222.7552873786362,51.621290291261104,2.0540252427183567
3100100007P,31,001,00007P,158,25,7,1
3100100007W,31,001,00007W,379,140,16,5
3100100008P,31,001,00008P,221,18,7,1
3100100008W,31,001,00008W,587.4492385786801,233.00507614213197,48.378172588832484,6.911167512690356
3100100009P,31,001,00009P,271,41,10,0
3100100009W,31,001,00009W,288.26666666666665,148.83333333333334,25.066666666666666,7.833333333333333
3100100010P,31,001,00010P,135,23,10,1
3100100010W,31,001,00010W,274.56,178.80296296296297,17.795555555555556,1.6948148148148148
3100100011W,31,001,00011W,376.6857142857143,175.66593406593407,33.503296703296705,12.676923076923078
3100100012W,31,001,00012W,88.55076142131979,44.99492385786802,0.6218274111675127,0.08883248730964467
3100100013W,31,001,00013W,806.5158010032098,297.69280871512643,52.45399809209146,6.429049788434163
3100100014W,31,001,00014W,287,182,22,2
3100100015W,31,001,00015W,372.2049441021982,198.20447322421055,27.741965863095977,7
3100100016W,31,001,00016W,169,113,24,3
3100100017W,31,001,00017W,565.702860400949,240.07775163258296,25.54595182190247,6.928052777277688
3100300001P,31,003,00001P,253,32,6,2
3100300001W,31,003,00001W,104,25,2,0
3100300002P,31,003,00002P,117,15,1,0
3100300002W,31,003,00002W,236.35399939292665,46.05009425371603,5.010018850743207,2.0016698084572013
3100300003P,31,003,00003P,284,24,23,0
3100300003W,31,003,00003W,346.21158872710004,60.46527323472762,17.823064204583893,0.9946453360610958
3100300004P,31,003,00004P,370,26,7,1
3100300004W,31,003,00004W,128,22,8,1
3100300005P,31,003,00005P,214.4344118799733,30.48463251155635,6.1669169446728995,1.003684855481703
3100300005W,31,003,00005W,151,26,7,3
3100300006P,31,003,00006P,198,24,2,1
3100300007P,31,003,00007P,216.00209591120154,30.00040447409152,12.000147081487826,5.000036770371957
3100300008P,31,003,00008P,113.99790408879846,21.999595525908475,7.999852918512173,1.9999632296280432
3100500001P,31,005,00001P,244,17,11,0
3100700001P,31,007,00001P,356.99999907051387,18.99999995053155,13.999999963549563,2.999999992189192
31009000001,31,009,000001,276.0525507713597,30.004582916106948,10.001527638702315,4.582916106948169e-4
3101100001P,31,011,00001P,374,62,23,4
3101100002P,31,011,00002P,85,17,3,0
3101100003P,31,011,00003P,95,37,8,1
3101100004P,31,011,00004P,308,43,20,3
3101100005P,31,011,00005P,358,50,21,1
3101100006P,31,011,00006P,369,61,20,2
3101100007P,31,011,00007P,261,94,21,6
3101100008P,31,011,00008P,143,9,6,0
3101100009P,31,011,00009P,306,41,15,0
31013001301,31,013,001301,330.9263406010607,133.081319976429,39.03535651149087,7.007071302298173
31013001302,31,013,001302,359.11437845365293,133.63658467773317,36.149673813944695,8.786538536373845
31013001303,31,013,001303,308.99964398094454,121.99985943584218,35.99995852205179,0.999998847834772
31013001304,31,013,001304,444.1462293395929,131.74678163901388,22.95589560462767,5.988484837385958
31013001305,31,013,001305,500.23277701834667,136.02043462374797,21.008884619020865,7.001776923804173
31013001306,31,013,001306,445,152,25,1
31013001311,31,013,001311,266.7265039269397,26.26166072208984,10.806085055543573,2.2046132375238088
31013001312,31,013,001312,302.0633735436977,23.0725435057444,7.578213598217889,3.0118310540209925
31013001315,31,013,001315,659.8166666666667,107.18333333333334,31.46666666666667,0
31015000001,31,015,000001,405,40,11,6
31015000002,31,015,000002,370.99999999999994,54.99999999999999,8,4
31015000003,31,015,000003,206.43319783197833,32.90826558265583,3.990379403794038,2.9902439024390244
3101700001P,31,017,00001P,671,83,22,4
3101700002P,31,017,00002P,280,32,11,1
3101700003P,31,017,00003P,433.97275074748575,37.993738593561915,6.016493224090397,1.9972527472527473
31019000001,31,019,000001,677.20581864551,217.8501244933898,39.19734979037336,9.010744913099353
31019000002,31,019,000002,440,204,40,7
31019000003,31,019,000003,665.9347742792345,259.39343085310543,59.145737428129195,8.014252382545317
31019000004,31,019,000004,943.1915782080853,325.0232923922809,46.01132359827873,8.001362451371325
31019000005,31,019,000005,461.00289658154264,196.0004278243925,45.000140270292626,2.0000210405438934
31019000006,31,019,000006,836.6356715843548,283.17079187113046,54.90731718147312,7.7098723870073185
31019000007,31,019,000007,592.2285732482193,307.56524802644014,67.04836441328942,13.287489742216058
31019000008,31,019,000008,359,123,43,5
31019000009,31,019,000009,493,261,64,12
31019000010,31,019,000010,776.4472712236043,326.1009511731411,95.02865304286051,28.00548275770819
31019000011,31,019,000011,334.6333847659852,173.85307506300018,37.17917604681391,7.009735641385909
31019000012,31,019,000012,395,258,49,26
31019000013,31,019,000013,912.7020864058272,279.0718963403264,83.70319009893267,16.048616938662658
31019000014,31,019,000014,727.1428126751698,305.66400653460965,74.95415963930883,17.975981972230887
31019000015,31,019,000015,249,21,8,3
31019000016,31,019,000016,411,74,25,3
31019000017,31,019,000017,196.9481707317073,33.62195121951219,10.214939024390244,2.0457317073170733
31019000018,31,019,000018,424.0518292682927,135.3780487804878,46.78506097560976,9.954268292682928
31019000019,31,019,000019,444.93493819128173,61.606376057254394,19.55757970071568,3.911515940143136
31019000020,31,019,000020,776.9447457010289,166.58723368651084,59.8435753875946,5.984858603656759
31019000021,31,019,000021,401,71,25,2
31019000022,31,019,000022,207,55,21,1
31019000023,31,019,000023,249,77,8,4
31019000024,31,019,000024,509,141,43,2
31019000025,31,019,000025,491,86,32,8
31019000026,31,019,000026,536.8301192378906,112.32818728152697,19.07523785785152,5.003893216818583
31019000027,31,019,000027,200.35252724766656,78.80974820942063,18.050853201748424,0.9673460912014388
31019000028,31,019,000028,448.06506180871827,69.3936239427456,20.44242029928432,6.088484059856864
31019000029,31,019,000029,409.7477401958808,60.581586250725024,19.85492204305311,2.9803418615523096
31021000001,31,021,000001,123.36225956232265,58.28927102676666,13.034977073812426,3.000554788258513
31021000002,31,021,000002,229.13262494970076,38.91016175592361,8.997090044830463,4.980930603811636
31021000003,31,021,000003,178,51,20,3
31021000004,31,021,000004,212.4211956521739,145.60326086956522,21.940217391304348,1.9945652173913044
31021000005,31,021,000005,153,39,9,1
31021000006,31,021,000006,277,110,13,6.000000000000001
31021000007,31,021,000007,243.3272913834391,85.22506245197447,10.051937488917183,2.028854160509546
31021000008,31,021,000008,234.54008366686014,68.86477579210194,24.950972466252352,4.990215235678817
31021000009,31,021,000009,199.96189997313968,65.98742699113609,10.997904498522683,6.998666499059889
31021000010,31,021,000010,268.2546448123637,140.12004111253202,24.02690103636054,3.0062134952902935
31021000011,31,021,000011,248,127,41,2
3102300001W,31,023,00001W,246.1798498775696,60.797307671382335,7.973421261138097,0.9966696272434473
3102300002P,31,023,00002P,460,85,28,6
3102300002W,31,023,00002W,278.7115801383712,84.00622492283362,14.824470189646942,4.941291430289508
3102300003W,31,023,00003W,337.9956755226949,80.52157616175008,20.87555299030852,2.9821533928975965
3102300005P,31,023,00005P,267,67,12,3
3102300006P,31,023,00006P,264,60,8,1
3102300008P,31,023,00008P,235.11289446136433,44.67489124403397,6.326555558906444,0.07988554956944854
3102300011P,31,023,00011P,216,28,2,3
3102300013P,31,023,00013P,308,80,11,2
3102300014P,31,023,00014P,206,39,11,1
3102300016P,31,023,00016P,260,62,7,2
3102500001P,31,025,00001P,719.1391443781255,310.9874565642793,49.27591694439827,5.055277039796008
3102500001W,31,025,00001W,167.056546624605,87.03906472013314,22.999005576159462,3.0021795503876105
3102500002P,31,025,00002P,145.8608556218745,70.01254343572074,9.724083055601731,1.9447229602039924
3102500002W,31,025,00002W,168.943453375395,95.96093527986686,16.000994423840538,3.9978204496123895
31025000031,31,025,000031,138.61383109154713,60.18296717012742,7.369342918791113,2.280987093911535
3102500003P,31,025,00003P,292,117,39,1
3102500003W,31,025,00003W,211,104,19,7
3102500004P,31,025,00004P,313,151,19,4
3102500004W,31,025,00004W,208.33648935337803,98.12405869008141,15.006594999388994,5.001017992594097
3102500005P,31,025,00005P,224,105,7,5
3102500005W,31,025,00005W,225.6084877076639,96.40538902045549,22.85900976773687,3.975479959606412
3102500006P,31,025,00006P,339.7752808988764,127.17303370786517,14.561797752808989,0.9707865168539326
3102500006W,31,025,00006W,198,94,18,5
3102500007W,31,025,00007W,149.96614121773723,70.4194765033973,24.05136446980375,6.0158985263678275
3102500008P,31,025,00008P,199,71,18,1
3102500008W,31,025,00008W,214,84,36,2
3102500009P,31,025,00009P,261.472549154725,136.10843505596944,23.501023417471423,6.654097815237883e-4
3102500009W,31,025,00009W,218.89447236180905,101.48743718592965,22.884422110552762,7.959798994974874
3102500010P,31,025,00010P,410.61650485436894,144.92394822006472,22.504854368932037,6
3102500011P,31,025,00011P,164.99530939762641,65.99812375905057,17.99948829792288,1.9999431442136537
3102500012P,31,025,00012P,87,25,8,4
3102500013P,31,025,00013P,395,139,32,6
3102500014P,31,025,00014P,124.9459593989028,46.979793308444414,7.996752905054987,0.9995870061585801
3102500015P,31,025,00015P,234.7739079186475,72.8994218098439,10.170078963342297,3.050365899523816
3102500016P,31,025,00016P,389,156,15,6
3102500017P,31,025,00017P,258,104,15,8
3102500018P,31,025,00018P,651.4750506296738,282.8681086159384,34.71368784427927,10.72661642752013
3102500019P,31,025,00019P,534.5678874101616,189.07078937489513,31.534025701688773,4.780103326415406
3102500020P,31,025,00020P,650.2848232848233,210.12266112266113,39.83367983367984,11.950103950103951
310250003W2,31,025,0003W2,146.53764022802935,63.44177343917522,19.581552187758465,3.2600976786097196
3102700001P,31,027,00001P,142,40,21,1
3102700002P,31,027,00002P,347,65,21,0
3102700003P,31,027,00003P,159,31,14,1
3102700004P,31,027,00004P,233,31,13,1
3102700005P,31,027,00005P,250,27,13,0
3102700006P,31,027,00006P,69,21,10,1
3102700007P,31,027,00007P,753.4860050890585,122.30534351145037,31.05089058524173,9
3102700009P,31,027,00009P,144.51399491094148,29.69465648854962,4.9491094147582695,0
3102700013P,31,027,00013P,311,36,13,1
3102700015P,31,027,00015P,130,14,9,0
3102700016P,31,027,00016P,404,58,33,4
3102700018P,31,027,00018P,103,37,18,2
3102700020P,31,027,00020P,486,59,23,11
3102900001P,31,029,00001P,214,19,5,0
3102900002P,31,029,00002P,294.0686322050884,25.485468593411568,6.102544208450522,0.047619047619047616
3102900003P,31,029,00003P,354,36,12,1
3102900007P,31,029,00007P,264.9313677949116,36.51453140658843,7.897455791549477,2.952380952380952
3102900008P,31,029,00008P,521,54,23,2
3103100001P,31,031,00001P,136,14,3,0
3103100002P,31,031,00002P,187,13,6,3
3103100003P,31,031,00003P,32,3,1,0
3103100004P,31,031,00004P,74,5,6,0
3103100005P,31,031,00005P,89,9,2,0
3103100006P,31,031,00006P,527,87,34,7
3103100007P,31,031,00007P,506,81,25,2
3103100008P,31,031,00008P,397,60,26,1
3103100009P,31,031,00009P,27,1,1,0
3103100010P,31,031,00010P,17,0,0,0
3103100011P,31,031,00011P,39.74193548387097,2,0.03225806451612903,0.06451612903225806
3103100012P,31,031,00012P,24,1,0,0
3103100013P,31,031,00013P,75,5,5,0
3103100014P,31,031,00014P,101,11.000000000000002,2,0
3103100015P,31,031,00015P,22.258064516129032,0,0.967741935483871,1.935483870967742
3103100016P,31,031,00016P,41,2,0,0
3103100017P,31,031,00017P,66,2,2,0
3103100018P,31,031,00018P,82.00000000000001,9,3,0
3103100019P,31,031,00019P,106,10,7,0
3103100020P,31,031,00020P,74,2,3,0
3103300001P,31,033,00001P,321,30,15,0
3103300002P,31,033,00002P,249,34,16,4
3103300003P,31,033,00003P,334.92574990893735,50.988696254793446,12.997118653182643,0
3103300004P,31,033,00004P,266.747183979975,22.140175219023778,15.04630788485607,2.016270337922403
3103300005P,31,033,00005P,421.30338479961677,99.57045388043221,31.289079054883445,7.925523831305341
3103300006P,31,033,00006P,706,166,26,5
3103300007P,31,033,00007P,429.0362500614199,102.00863903332903,27.00271028496597,1.0006775712414933
3103300009P,31,033,00009P,334,92,32,13
3103300010P,31,033,00010P,602.9131811589884,114.28073186721497,37.661902775294514,13.057528259530763
3103500001P,31,035,00001P,175,26,15,0
3103500002P,31,035,00002P,268,76,22,7
3103500003P,31,035,00003P,204,31,7,0
3103500004P,31,035,00004P,177,36,4,3
3103500005P,31,035,00005P,161,24,8,0
3103500006P,31,035,00006P,172,17,3,0
3103500007P,31,035,00007P,242,56,12,1
3103500008P,31,035,00008P,301,47,13,0
3103500009P,31,035,00009P,303,62,8,2
3103500010P,31,035,00010P,265,70,14,1
3103500011P,31,035,00011P,154,32,10,1
3103700001P,31,037,00001P,481,257,22,5
3103700002P,31,037,00002P,579,119,15,5
3103700003P,31,037,00003P,289,185,19,7
3103700005P,31,037,00005P,440,241,40,6
3103700009P,31,037,00009P,382,57,22,3
3103900001P,31,039,00001P,599,146,33,4
3103900002P,31,039,00002P,364,104,19,4
3103900004P,31,039,00004P,358,67,8,2
3103900006P,31,039,00006P,431,77,25,4
3103900007P,31,039,00007P,435.0001177411473,87.60421892825818,21.336507339651593,2.012129140460887
3103900010P,31,039,00010P,552.5197235990762,152.72860844974477,32.171944453811115,9.014221597356046
3103900011P,31,039,00011P,382.48015865977646,84.66717262199705,18.491548206537296,0.973649262183067
3104100001P,31,041,00001P,54.725,7.15,2.475,0.275
3104100002P,31,041,00002P,150.875,19.15344827586207,6.828448275862069,0.725
3104100003P,31,041,00003P,40.8,1.8758620689655172,1.8758620689655172,0
3104100004P,31,041,00004P,31,1,0,0
3104100005P,31,041,00005P,53.770212765957446,7.582978723404255,2.068085106382979,0
3104100006P,31,041,00006P,24.22978723404255,3.4170212765957446,0.9319148936170212,0
3104100008P,31,041,00008P,203,39,13,4
3104100009P,31,041,00009P,39.6,1.8206896551724139,1.8206896551724139,0
3104100010P,31,041,00010P,422,40,10,7
3104100011P,31,041,00011P,76,4,0,0
3104100012P,31,041,00012P,306,28,12,1
3104100013P,31,041,00013P,200.27616298171236,13.040754225974974,4.013393269874619,0.015919560663073644
3104100014P,31,041,00014P,55,4,1,0
3104100015P,31,041,00015P,64,0,4,0
3104100016P,31,041,00016P,51,3,0,0
3104100017P,31,041,00017P,42,7,4,0
3104100018P,31,041,00018P,8,1,1,0
3104100019P,31,041,00019P,59,19,1,0
3104100020P,31,041,00020P,71,1,0,0
3104100021P,31,041,00021P,57.99999999999999,4,0,0
3104100022P,31,041,00022P,365,39,20,3
3104100023P,31,041,00023P,46,8,5,1
3104100024P,31,041,00024P,184.35324143536124,17.840636267938184,2.9734393779896977,0
3104100025P,31,041,00025P,94.99999999999999,14,5,0
3104100026P,31,041,00026P,86.7918015102481,12.677454153182309,4.875943905070119,1.2189859762675297
3104100027P,31,041,00027P,110.98597626752967,16.21143473570658,6.235167206040993,1.5587918015102482
3104100028P,31,041,00028P,20,4,0,0
3104100029P,31,041,00029P,142,15,7,4
3104100030P,31,041,00030P,25,0,2.9999999999999996,0
3104100031P,31,041,00031P,60,3,1,0
3104100032P,31,041,00032P,86.79703703703704,11.632592592592593,4.474074074074074,0
3104100033P,31,041,00033P,107.20296296296296,14.367407407407407,5.525925925925926,0
3104100034P,31,041,00034P,158.22222222222223,23.11111111111111,8.88888888888889,2.2222222222222223
3104100035P,31,041,00035P,131.75801749271136,46.30320699708455,7.093294460641399,4
3104100037P,31,041,00037P,465.5102973402023,94.87563692587831,19.978277504116086,4.986420707553497
3104100038P,31,041,00038P,208.02200615912506,48.09890382185081,7.016483970308468,1
3104100039P,31,041,00039P,392.08027459088765,67.84086176127317,31.92511141706973,0.997659731783429
3104300001P,31,043,00001P,287,124,11,3
3104300002P,31,043,00002P,503.7706883592811,188.7635309393364,19.053004642917855,7.009369591393501
3104300003P,31,043,00003P,160.3692219054232,35.88716742255248,10.900836152516582,0.05511811023622047
3104300004P,31,043,00004P,146.91181988742963,83.20262664165104,7.061913696060038,0
3104300005P,31,043,00005P,181.47222620412845,60.971640863914374,4.919903956422019,0.0061162079510703364
3104300006P,31,043,00006P,400.7189582071472,106.91020593579648,28.03725015142338,3.9448818897637796
3104300007P,31,043,00007P,370.43272171253824,224.6559633027523,19.96941896024465,3.9938837920489294
3104300009P,31,043,00009P,188.7887088192577,204.1942089661392,10.44455459985579,2.857344588084727
3104300010P,31,043,00010P,280.65888324873094,355.71878172588833,37.64771573604061,6.1766497461928935
3104300011P,31,043,00011P,289,346,35,10
3104300013P,31,043,00013P,229.87677165606354,183.69587420196942,15.965402104519079,4.956636074328879
3104300014P,31,043,00014P,368,267,18,5
3104300015P,31,043,00015P,209,133,11,3
3104500001P,31,045,00001P,140,52,16,10
3104500002P,31,045,00002P,347.26459143968873,149.4046692607004,25.085603112840467,15
3104500003P,31,045,00003P,285,143,21,12
3104500004P,31,045,00004P,190.0148148148148,92.65185185185186,18.844444444444445,3.9259259259259256
3104500005P,31,045,00005P,155.88864142538975,87.81069042316258,22.692650334075726,6.906458797327394
3104500006P,31,045,00006P,288.73540856031127,51.59533073929961,10.914396887159533,0
3104500007P,31,045,00007P,244,46,16,2
3104500008P,31,045,00008P,214.11135857461025,33.18930957683742,9.307349665924276,0.0935412026726058
3104500009P,31,045,00009P,109,19,8,0
3104500010P,31,045,00010P,373,56,18,0
3104500011P,31,045,00011P,233,45,20,1
3104500013P,31,045,00013P,51.98518518518519,25.348148148148148,5.155555555555555,1.074074074074074
3104700001P,31,047,00001P,130,10,10,0
3104700002P,31,047,00002P,204.91958041958043,22.87937062937063,21.884615384615383,0
3104700003P,31,047,00003P,79,6,7,0
3104700004P,31,047,00004P,214,19,12,4
3104700005P,31,047,00005P,143,38,4,2
3104700006P,31,047,00006P,112,27,4,0
3104700007P,31,047,00007P,114,14,5,0
3104700008P,31,047,00008P,182,25,5,1
3104700009P,31,047,00009P,230,60,6,1
3104700010P,31,047,00010P,170,42,12,3
3104700011P,31,047,00011P,436,60,16,4
3104700012P,31,047,00012P,629,185,34,9
3104700013P,31,047,00013P,736,143,36,0
3104700015P,31,047,00015P,615.0804195804195,140.12062937062936,35.11538461538461,5
3104700016P,31,047,00016P,649,157,37,9
3104700017P,31,047,00017P,83,160,13,3
3104700018P,31,047,00018P,192,220,18,7
3104700019P,31,047,00019P,412,243,32,1
3104700020P,31,047,00020P,440,309,39,5
3104700021P,31,047,00021P,213,255,34,4
3104900001P,31,049,00001P,264,56,8,1
3104900002P,31,049,00002P,270.1899228318529,29.803473532793717,14.898966240610937,0
3104900003P,31,049,00003P,274.8843272592097,34.20783021241284,24.10391510620642,0
3105100001P,31,051,00001P,344,101,27,5
3105100003P,31,051,00003P,171.45497525574623,34.68742273960184,3.9642768845259244,0
3105100004P,31,051,00004P,198,22,13,1
3105100005P,31,051,00005P,208,48,16,0
3105100006P,31,051,00006P,219,45,11,4
3105100007P,31,051,00007P,108,32,8,1
3105100008P,31,051,00008P,124,54,15,0
3105100009P,31,051,00009P,166.56609088493224,36.11017804942865,9.22237576401807,0.07887323943661972
3105100010P,31,051,00010P,141.54464285714286,49.3125,1.0357142857142856,0
3105100011P,31,051,00011P,161.0003818871109,35.00007726039816,6.000008829759789,0
3105100012P,31,051,00012P,90.38989628198237,37.08270527193565,7.021267069926311,2
3105100013P,31,051,00013P,109.0440128330854,61.8071166786357,12.756357166055619,3.9211267605633804
3105300001P,31,053,00001P,347,87,7,0
3105300002P,31,053,00002P,193,31,14,2
3105300003P,31,053,00003P,198.96315344302675,50.990556912534494,11.997778097066941,3.99925936568898
3105300004P,31,053,00004P,343,75,22,7
3105300005P,31,053,00005P,419.55492758742497,96.89720946661957,19.978806075591663,1.9978806075591664
3105300006P,31,053,00006P,340,127,17,6
3105300007P,31,053,00007P,475.26535964774945,164.87252928168908,16.611137799725384,5.869410146109932
3105300008P,31,053,00008P,206.66167950454502,103.70489620970842,8.833787135061835,1.7730609838020899
3105300009P,31,053,00009P,159.63565434728517,60.289432853564534,8.278851791143387,0.3182770590830048
3105300010P,31,053,00010P,549,246,44,6
3105300011P,31,053,00011P,193,86,13.999999999999998,3.9999999999999996
3105300012P,31,053,00012P,224,102,9,7
3105300013P,31,053,00013P,418,228,30,9
3105300014P,31,053,00014P,367.07247028724487,238.12402260278836,10.710654707840986,5.731088260120232
3105300015P,31,053,00015P,239.9960249707495,163.87861050708656,13.26971868607151,5.44974156235743
3105300016P,31,053,00016P,357,157,21,6.000000000000001
3105300017P,31,053,00017P,272,165,16,14
3105300018P,31,053,00018P,245,134,20,3
3105300019P,31,053,00019P,182,119,21,3
3105300020P,31,053,00020P,333,213,37,3
3105300021P,31,053,00021P,526.6848341232228,244.0734597156398,20.751184834123222,3.9526066350710902
3105300022P,31,053,00022P,531.0787780251543,262.36455257401764,31.05951878759472,4
3105300023P,31,053,00023P,102.82056451612904,85.62701612903226,8.58266129032258,4.308467741935484
3105300024P,31,053,00024P,192.17943548387098,130.37298387096774,16.41733870967742,8.691532258064516
3105300025P,31,053,00025P,265,154,20,10
3105300026P,31,053,00026P,190,102,16,4
3105300027P,31,053,00027P,228,127,17,9
3105300028P,31,053,00028P,350,173,35,7
3105300029P,31,053,00029P,476.1825865803278,269.2446367604452,34.43904307512392,4.889349930843707
3105300030P,31,053,00030P,277.0368465569732,121.00944308746551,17.00222190293306,2.00074063431102
3105300031P,31,053,00031P,381,147,28,5
3105300033P,31,053,00033P,348,79,18,4
31055001-02,31,055,001-02,634.712682631694,642.0831979984104,56.57218142595368,21.1535942933994
31055001-03,31,055,001-03,225.55620608899298,326.37002341920373,16.86768149882904,5.491803278688525
31055001-04,31,055,001-04,295.2151330733767,753.8809655329459,30.390761458555836,15.190045676769754
31055001-05,31,055,001-05,390.12125785373274,608.7843314473406,43.97009845046604,14.678530489698693
31055001-07,31,055,001-07,318,808,54,26
31055001-08,31,055,001-08,362,811,55,17
31055001-09,31,055,001-09,296,443,43,19
31055001-10,31,055,001-10,275,288,27,7
31055001-11,31,055,001-11,353,500,48,23
31055001-12,31,055,001-12,50,44,8,2
31055001-13,31,055,001-13,609,653,75,19
31055001-14,31,055,001-14,408,1003,65,23
31055001-15,31,055,001-15,495,767,84,33
31055001-16,31,055,001-16,322,457,34,23
31055001-17,31,055,001-17,256,781,73,24
31055001-18,31,055,001-18,476,982,60,8
31055001-19,31,055,001-19,486,658,40,11
31055001-20,31,055,001-20,439.9677516482832,519.6981199382049,43.2988533310705,12.068307532570788
31055001-21,31,055,001-21,445.3717319541307,625.7124108885773,49.81786710896317,8.967216079613369
31055001-22,31,055,001-22,459.3134975618685,473.1049806187039,22.92301690055589,6.9687723165282245
31055001-23,31,055,001-23,382.2076177046793,591.5463550173542,37.15101770417219,15.712914800811712
31055001-24,31,055,001-24,355,492,36,19
31055001-25,31,055,001-25,282,482,60,14
31055001-26,31,055,001-26,137.10558319513544,455.9557766721946,24.597014925373134,13.209508015478164
31055001-27,31,055,001-27,518.477966101695,458.52480739599383,39.432665639445304,9.155315870570108
31055001-28,31,055,001-28,495,443,64,22
31055001-29,31,055,001-29,443,459,39,12
31055001-30,31,055,001-30,471.53141404352596,535.9970977720363,72.4997581476697,25.181730235516252
31055001-31,31,055,001-31,530.9395188735219,689.6493245268304,41.07509191629836,14.078512911474396
31055002-01,31,055,002-01,263.8057111693841,528.0468051345528,42.085804138666695,19.1761255176717
31055002-02,31,055,002-02,212,560,35,14
31055002-03,31,055,002-03,272.344321019756,744.1797127887401,27.931456410969943,16.958784916590453
31055002-04,31,055,002-04,111.76839445242169,578.5945917990077,11.057296372406558,7.984862557285711
31055002-05,31,055,002-05,84.99338826056268,520.3307413986964,7.728904167651592,8.72673740076429
31055002-06,31,055,002-06,114.29785801973495,566.5198180108601,13.914521845880776,12.920627428317863
31055002-07,31,055,002-07,90,580,6,2
31055002-08,31,055,002-08,77.48903752779556,569.2463910695751,12.914839587965927,11.921390388891625
31055002-09,31,055,002-09,30.15696295841268,669.9299752237033,10.02616049306878,6.03052057524691
31055002-10,31,055,002-10,60,627,17,14
